,title,views,date_time,video_link,thumbnail_link
30,GeeksforGeeks brings back Three 90 Challenge!,2.2M views,1 month ago,/watch?v=jTawc2mrQSw,https://i.ytimg.com/vi/jTawc2mrQSw/hqdefault.jpg
31,Big Companies vs Startups | Which one should you choose in 2024? | Startups | MNC'S,857 views,1 month ago,/watch?v=gkCKp0BgAy4,https://i.ytimg.com/vi/gkCKp0BgAy4/hqdefault.jpg
32,Hoare Partition Quick Sort | Lecture - 20 | GeeksforGeeks,859 views,1 month ago,/watch?v=NsY5UI0RZfE,https://i.ytimg.com/vi/NsY5UI0RZfE/hqdefault.jpg
33,GATE vs Placements🧑‍💻| Which one to choose after graduation? 🤔 | GATE | Engineering | GFG,835 views,1 month ago,/watch?v=N42PuoXkjgA,https://i.ytimg.com/vi/N42PuoXkjgA/hqdefault.jpg
34,Futuristic Marvel Technologies that will blow your mind | Marvel | Metaverse | GFG,610 views,1 month ago,/watch?v=1C5qpMkfeNw,https://i.ytimg.com/vi/1C5qpMkfeNw/hqdefault.jpg
35,Learn Lomuto Partition | Lecture - 19 | GeeksforGeeks,779 views,1 month ago,/watch?v=xew1z47P6OM,https://i.ytimg.com/vi/xew1z47P6OM/hqdefault.jpg
36,What is Dynamic Programming? |  Data Structures & Algorithms | GeeksforGeeks,908 views,1 month ago,/watch?v=ad6UqyoZ9Hk,https://i.ytimg.com/vi/ad6UqyoZ9Hk/hqdefault.jpg
37,Top 7 questions asked in Microsoft interviews😎 | Microsoft | Interview Questions | Career Tips | GFG,1.2K views,1 month ago,/watch?v=nZwVi7Affvc,https://i.ytimg.com/vi/nZwVi7Affvc/hqdefault.jpg
38,Learn Quick Sort (Naive Partition) in 5 Minutes | Sorting Playlist | Lecture -18 | GeeksforGeeks,521 views,1 month ago,/watch?v=kq3d0P6WxBo,https://i.ytimg.com/vi/kq3d0P6WxBo/hqdefault.jpg
39,Python vs Java | Which one you should choose in 2024? | Python | Java | Machine Learning | GFG,2.6K views,1 month ago,/watch?v=5IS1qwgUtPQ,https://i.ytimg.com/vi/5IS1qwgUtPQ/hqdefault.jpg
40,Count Inversion in Array | Lecture 17 | GeeksforGeeks,1K views,1 month ago,/watch?v=r0iq9vfZ6bA,https://i.ytimg.com/vi/r0iq9vfZ6bA/hqdefault.jpg
41,Why so many CEOs are from India? | Decoded | Google | Microsoft | Adobe | GFG,1.1K views,2 months ago,/watch?v=TpeDtIwGJeA,https://i.ytimg.com/vi/TpeDtIwGJeA/hqdefault.jpg
42,Learn Union Sort in 10 Minutes | Sorting Playlist | GeeksforGeeks,804 views,2 months ago,/watch?v=CfAGM0kQsGU,https://i.ytimg.com/vi/CfAGM0kQsGU/hqdefault.jpg
43,Three 90 Challenge | Hear from 90% Refund Winners | GeeksforGeeks,173K views,2 months ago,/watch?v=_QwpAU8k6Qw,https://i.ytimg.com/vi/_QwpAU8k6Qw/hqdefault.jpg
44,Intersection of Two Merge Sort Array | Free Tutorial | Lecture - 15 | GeeksforGeeks,669 views,2 months ago,/watch?v=dr5DHXTk7zc,https://i.ytimg.com/vi/dr5DHXTk7zc/hqdefault.jpg
